CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
11785547,CW4 7AY,Private Limited Company,Active - Proposal to Strike off,United Kingdom,NA,2019-01-24,78300 - Human resources provision and management of human resources functions,,,
11752962,NN15 6WT,Private Limited Company,Active,United Kingdom,NA,2019-01-07,96020 - Hairdressing and other beauty treatment,,,
NI658377,BT70 2NW,Private Limited Company,Active,United Kingdom,NA,2019-01-18,43210 - Electrical installation,,,
11765135,N12 0DR,Private Limited Company,Active,United Kingdom,NA,2019-01-14,41100 - Development of building projects,,,
11773541,WA4 5PW,Private Limited Company,Active,United Kingdom,NA,2019-01-17,22190 - Manufacture of other rubber products,,,
OC425849,IG1 1LR,Limited Liability Partnership,Active,United Kingdom,NA,2019-01-31,None Supplied,,,
11774317,NG10 4HS,Private Limited Company,Active,United Kingdom,NA,2019-01-17,82990 - Other business support service activities n.e.c.,,,
11798834,HU9 1SD,Private Limited Company,Active,United Kingdom,NA,2019-01-31,25110 - Manufacture of metal structures and parts of structures,25620 - Machining,,
11747885,SG6 3BJ,Private Limited Company,Active,United Kingdom,NA,2019-01-03,96020 - Hairdressing and other beauty treatment,,,
11775823,N22 6RP,Private Limited Company,Active,United Kingdom,NA,2019-01-18,59200 - Sound recording and music publishing activities,,,
11769081,GU5 0AZ,Private Limited Company,Active,United Kingdom,NA,2019-01-16,70229 - Management consultancy activities other than financial management,74901 - Environmental consulting activities,"74909 - Other professional, scientific and technical activities n.e.c.",
11769510,GU31 5LL,Private Limited Company,Active,United Kingdom,NA,2019-01-16,"43220 - Plumbing, heat and air-conditioning installation",,,
SC619310,ZE2 9XQ,Private Limited Company,Active,United Kingdom,NA,2019-01-28,03110 - Marine fishing,,,
11792294,WD17 2JP,Private Limited Company,Active,United Kingdom,NA,2019-01-28,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,
11779888,NR3 1JE,Private Limited Company,Active,United Kingdom,NA,2019-01-22,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,
11759039,SN11 0BT,Private Limited Company,Active,United Kingdom,NA,2019-01-10,68209 - Other letting and operating of own or leased real estate,,,
11787830,W2 4PX,Private Limited Company,Active,United Kingdom,NA,2019-01-25,"47410 - Retail sale of computers, peripheral units and software in specialised stores",47421 - Retail sale of mobile telephones,95210 - Repair of consumer electronics,
11791197,NN11 4EF,Private Limited Company,Active,United Kingdom,NA,2019-01-28,43310 - Plastering,43341 - Painting,43999 - Other specialised construction activities n.e.c.,49410 - Freight transport by road
11773142,CR3 5NW,Private Limited Company,Active,United Kingdom,NA,2019-01-17,80200 - Security systems service activities,,,
11762414,E7 9PA,Private Limited Company,Active,United Kingdom,NA,2019-01-11,56101 - Licensed restaurants,,,
11798161,CH5 3DT,Private Limited Company,Active,United Kingdom,NA,2019-01-30,82990 - Other business support service activities n.e.c.,,,
11753639,DL2 1SB,Private Limited Company,Active,United Kingdom,NA,2019-01-07,77110 - Renting and leasing of cars and light motor vehicles,,,
11749521,GL51 0UX,Private Limited Company,Active,United Kingdom,NA,2019-01-04,70229 - Management consultancy activities other than financial management,,,
11761042,SK7 2DH,Private Limited Company,Active,United Kingdom,NA,2019-01-10,81300 - Landscape service activities,,,
11785889,SR8 1AL,Private Limited Company,Active,United Kingdom,NA,2019-01-24,68209 - Other letting and operating of own or leased real estate,,,
11778186,CH41 4AH,Private Limited Company,Active,United Kingdom,NA,2019-01-21,47190 - Other retail sale in non-specialised stores,,,
11749893,EX16 9GA,Private Limited Company,Active,United Kingdom,NA,2019-01-04,46190 - Agents involved in the sale of a variety of goods,,,
SC619051,PA1 2AY,Private Limited Company,Active,United Kingdom,NA,2019-01-23,47710 - Retail sale of clothing in specialised stores,,,
11770645,WN5 7UE,Private Limited Company,Active,United Kingdom,NA,2019-01-16,43290 - Other construction installation,,,
11788830,IG10 3TZ,Private Limited Company,Active,United Kingdom,NA,2019-01-25,41100 - Development of building projects,,,
11772070,HU5 4QG,Private Limited Company,Active,United Kingdom,NA,2019-01-17,56103 - Take-away food shops and mobile food stands,,,
11746418,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2019-01-02,70229 - Management consultancy activities other than financial management,,,
