CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13168516,CF11 7AW,Private Limited Company,Active,United Kingdom,NA,2021-01-29,74990 - Non-trading company,,,
13137301,DT9 5HE,Private Limited Company,Active,United Kingdom,NA,2021-01-15,47710 - Retail sale of clothing in specialised stores,,,
13126844,B8 1NE,Private Limited Company,Active,United Kingdom,NA,2021-01-11,"74909 - Other professional, scientific and technical activities n.e.c.",,,
13163443,TR7 2HG,Private Limited Company,Active,United Kingdom,NA,2021-01-27,56210 - Event catering activities,,,
13134623,BN14 7BL,Private Limited Company,Active,United Kingdom,NA,2021-01-14,70229 - Management consultancy activities other than financial management,,,
13155445,SW17 0RF,Private Limited Company,Active,United Kingdom,NA,2021-01-25,"47990 - Other retail sale not in stores, stalls or markets",,,
13155978,BA11 4EN,Private Limited Company,Active,United Kingdom,NA,2021-01-25,68320 - Management of real estate on a fee or contract basis,,,
13108928,SW15 5JU,Private Limited Company,Active,United Kingdom,NA,2021-01-04,86220 - Specialists medical practice activities,,,
13161871,TN5 7QP,Private Limited Company,Active,United Kingdom,NA,2021-01-27,"47760 - Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",,,
13113764,B45 0DH,Private Limited Company,Active,United Kingdom,NA,2021-01-05,43210 - Electrical installation,,,
13108349,RM10 7AB,Private Limited Company,Active,United Kingdom,NA,2021-01-04,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,
13125851,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-11,45190 - Sale of other motor vehicles,45310 - Wholesale trade of motor vehicle parts and accessories,,
13122456,S3 7AR,Private Limited Company,Active,United Kingdom,NA,2021-01-08,"43220 - Plumbing, heat and air-conditioning installation",,,
13121080,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-08,47910 - Retail sale via mail order houses or via Internet,,,
13162378,EC2A 4NE,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47799 - Retail sale of other second-hand goods in stores (not incl. antiques),,,
13138902,KT12 3PD,Private Limited Company,Active,United Kingdom,NA,2021-01-18,70229 - Management consultancy activities other than financial management,,,
13137888,NG31 9SW,Private Limited Company,Active,United Kingdom,NA,2021-01-15,56101 - Licensed restaurants,,,
13140441,CV35 9TX,Private Limited Company,Active,United Kingdom,NA,2021-01-18,47910 - Retail sale via mail order houses or via Internet,,,
13148447,WA14 2DT,Private Limited Company,Active,United Kingdom,NA,2021-01-20,64209 - Activities of other holding companies n.e.c.,,,
13144860,WA8 7LF,Private Limited Company,Active,United Kingdom,NA,2021-01-19,49410 - Freight transport by road,,,
13136397,NE29 8PL,Private Limited Company,Active,United Kingdom,NA,2021-01-15,47190 - Other retail sale in non-specialised stores,,,
13138146,SO14 7EB,Private Limited Company,Active,United Kingdom,NA,2021-01-15,96090 - Other service activities n.e.c.,,,
13164445,CB24 3BF,Private Limited Company,Active,United Kingdom,NA,2021-01-28,79110 - Travel agency activities,,,
13138220,TW13 4DF,Private Limited Company,Active,United Kingdom,NA,2021-01-18,45320 - Retail trade of motor vehicle parts and accessories,,,
13110807,ST4 4EL,Private Limited Company,Active,United Kingdom,NA,2021-01-04,49410 - Freight transport by road,49420 - Removal services,52290 - Other transportation support activities,53201 - Licensed carriers
13125951,SA8 4LW,Private Limited Company,Active,United Kingdom,NA,2021-01-11,70229 - Management consultancy activities other than financial management,71122 - Engineering related scientific and technical consulting activities,,
13157468,W1T 6LQ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,64999 - Financial intermediation not elsewhere classified,,,
13119287,E11 1DZ,Private Limited Company,Active,United Kingdom,NA,2021-01-07,47910 - Retail sale via mail order houses or via Internet,,,
13126269,HP2 4FE,Private Limited Company,Active,United Kingdom,NA,2021-01-11,56290 - Other food services,,,
13162934,PO19 8FX,Private Limited Company,Active,United Kingdom,NA,2021-01-27,85320 - Technical and vocational secondary education,,,
13154622,EC2A 4NE,Private Limited Company,Active,United Kingdom,NA,2021-01-25,85590 - Other education n.e.c.,,,
13143444,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-19,87900 - Other residential care activities n.e.c.,,,
13152458,PO20 8PS,Private Limited Company,Active,United Kingdom,NA,2021-01-22,96090 - Other service activities n.e.c.,,,
13115413,SL4 3AS,Private Limited Company,Active,United Kingdom,NA,2021-01-06,41100 - Development of building projects,41201 - Construction of commercial buildings,,
NI675437,"BT81 7HZ,",Private Limited Company,Active,United Kingdom,NA,2021-01-08,82990 - Other business support service activities n.e.c.,,,
