CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13117211,MK8 8AY,Private Limited Company,Active,United Kingdom,NA,2021-01-06,41201 - Construction of commercial buildings,,,
13146399,WN8 8EF,Private Limited Company,Active,United Kingdom,NA,2021-01-20,"47990 - Other retail sale not in stores, stalls or markets",,,
13136959,W1J 7DF,Private Limited Company,Active,United Kingdom,NA,2021-01-15,64999 - Financial intermediation not elsewhere classified,,,
SC686897,G2 4JR,Private Limited Company,Active,United Kingdom,NA,2021-01-25,41100 - Development of building projects,,,
13160655,SW17 0PD,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47190 - Other retail sale in non-specialised stores,,,
13163306,OX28 6HD,Private Limited Company,Active,United Kingdom,NA,2021-01-27,68209 - Other letting and operating of own or leased real estate,,,
13109770,RM17 5FH,Private Limited Company,Active,United Kingdom,NA,2021-01-04,24100 - Manufacture of basic iron and steel and of ferro-alloys,,,
13165034,SE7 7EY,Private Limited Company,Active,United Kingdom,NA,2021-01-28,71129 - Other engineering activities,,,
13155959,TF2 9GA,Private Limited Company,Active,United Kingdom,NA,2021-01-25,70229 - Management consultancy activities other than financial management,85600 - Educational support services,,
13134848,KT22 9FE,Private Limited Company,Active,United Kingdom,NA,2021-01-14,68320 - Management of real estate on a fee or contract basis,,,
13127394,LL11 2LR,Private Limited Company,Active,United Kingdom,NA,2021-01-12,43999 - Other specialised construction activities n.e.c.,,,
13161874,WS6 6NN,Private Limited Company,Active,United Kingdom,NA,2021-01-27,18129 - Printing n.e.c.,"46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",74100 - specialised design activities,
13120866,CW9 8RZ,Private Limited Company,Active,United Kingdom,NA,2021-01-07,74202 - Other specialist photography,,,
13165012,SS16 4QR,Private Limited Company,Active,United Kingdom,NA,2021-01-28,43999 - Other specialised construction activities n.e.c.,,,
13130044,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-13,79110 - Travel agency activities,79120 - Tour operator activities,79901 - Activities of tourist guides,
13133863,CV6 7HB,Private Limited Company,Active,United Kingdom,NA,2021-01-14,49410 - Freight transport by road,"52219 - Other service activities incidental to land transportation, n.e.c.",96090 - Other service activities n.e.c.,
13124508,S71 4QZ,Private Limited Company,Active,United Kingdom,NA,2021-01-11,43210 - Electrical installation,,,
13161709,B44 0AX,Private Limited Company,Active,United Kingdom,NA,2021-01-27,86102 - Medical nursing home activities,86210 - General medical practice activities,86900 - Other human health activities,
13127774,E10 5LT,Private Limited Company,Active,United Kingdom,NA,2021-01-12,81210 - General cleaning of buildings,,,
13147746,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-20,"46730 - Wholesale of wood, construction materials and sanitary equipment",,,
13163990,E15 1QA,Private Limited Company,Active,United Kingdom,NA,2021-01-28,47910 - Retail sale via mail order houses or via Internet,,,
13130288,RM3 8EN,Private Limited Company,Active,United Kingdom,NA,2021-01-13,96090 - Other service activities n.e.c.,,,
13164027,WS4 2LA,Private Limited Company,Active,United Kingdom,NA,2021-01-28,64209 - Activities of other holding companies n.e.c.,,,
13137664,W1B 4NR,Private Limited Company,Active,United Kingdom,NA,2021-01-15,64209 - Activities of other holding companies n.e.c.,,,
13114064,E6 2JA,Private Limited Company,Active,United Kingdom,NA,2021-01-05,47910 - Retail sale via mail order houses or via Internet,,,
13128847,W1W 7LT,Private Limited Company,Active,United Kingdom,NA,2021-01-12,47910 - Retail sale via mail order houses or via Internet,63120 - Web portals,70229 - Management consultancy activities other than financial management,73110 - Advertising agencies
13122653,WC1E 6HA,Private Limited Company,Active,United Kingdom,NA,2021-01-08,99999 - Dormant Company,,,
13122117,NE29 6LN,Private Limited Company,Active,United Kingdom,NA,2021-01-08,64301 - Activities of investment trusts,64304 - Activities of open-ended investment companies,64306 - Activities of real estate investment trusts,
NI675569,BT38 7AW,Private Limited Company,Active,United Kingdom,NA,2021-01-14,33170 - Repair and maintenance of other transport equipment n.e.c.,,,
13159518,SE2 0RG,Private Limited Company,Active,United Kingdom,NA,2021-01-26,96020 - Hairdressing and other beauty treatment,,,
13134917,BS30 5SY,Private Limited Company,Active,United Kingdom,NA,2021-01-14,71129 - Other engineering activities,,,
13120539,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-07,45190 - Sale of other motor vehicles,45200 - Maintenance and repair of motor vehicles,,
13156754,IG6 3SZ,Private Limited Company,Active,United Kingdom,NA,2021-01-25,46660 - Wholesale of other office machinery and equipment,,,
13148695,N9 0TZ,Private Limited Company,Active,United Kingdom,NA,2021-01-21,96020 - Hairdressing and other beauty treatment,,,
13132845,DH8 6GG,Private Limited Company,Active,United Kingdom,NA,2021-01-13,96090 - Other service activities n.e.c.,,,
13148223,B10 0XE,Private Limited Company,Active,United Kingdom,NA,2021-01-20,45112 - Sale of used cars and light motor vehicles,,,
13125944,WD25 0HW,Private Limited Company,Active,United Kingdom,NA,2021-01-11,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,
13126691,M28 3RJ,Private Limited Company,Active,United Kingdom,NA,2021-01-11,56210 - Event catering activities,,,
13155291,GL15 5FL,Private Limited Company,Active,United Kingdom,NA,2021-01-25,59113 - Television programme production activities,59133 - Television programme distribution activities,60200 - Television programming and broadcasting activities,
13108470,CF38 2RS,Private Limited Company,Active,United Kingdom,NA,2021-01-04,42120 - Construction of railways and underground railways,,,
13148014,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-20,93130 - Fitness facilities,,,
13144926,N15 3JS,Private Limited Company,Active,United Kingdom,NA,2021-01-19,47910 - Retail sale via mail order houses or via Internet,"47990 - Other retail sale not in stores, stalls or markets",,
